,PUMA,NPF,AGEP,DENSITY,INDP_CAT,NOC,DPHY,HISP,HOUSING_TYPE,MSP,OWN_RENT,EDU,DREM,DVET,DEAR,RAC1P,SEX,PINCP_DECILE,DEYE
PUMA,0.0,0.024239110787459512,0.0645504582618085,-0.7698128290426293,-0.1108932168226508,-0.00951944817188093,-0.03177519084308586,-0.047127404282667956,0.03492469120474067,0.009863608342977403,-0.053007770910024135,-0.032387562390267896,-0.006953160557454123,-0.008070522328566606,0.0036608817402722857,0.13003118848820433,0.05805244266004819,-0.04398763617694838,-0.030572185549405422
NPF,0.024239110787459512,0.0,0.0987856886441173,-0.023510538221715945,0.14527173271954974,-0.21254592123981741,0.007656593659810987,0.032111222001681435,0.0952980038375118,0.09840221377110159,-0.07651752760942573,0.17299647029687212,0.02854287676330841,0.016953104320679813,-0.0065395900791532235,-0.11900845371248386,0.027813550535106726,0.3172961766008253,-0.01726268815459296
AGEP,0.0645504582618085,0.0987856886441173,0.0,0.05708770534428492,-0.17049897512294016,0.1269941281438568,-0.022313340000194026,0.035830727412463424,0.075238955364592,-0.07000955952792046,0.002831102087577808,-0.35721441429089473,-0.04014697036677256,-0.10194558930888419,0.05920875124958119,0.054882314883043015,-0.051569954646082126,-0.5701594932476791,0.02272861440989997
DENSITY,-0.7698128290426293,-0.023510538221715945,0.05708770534428492,0.0,-0.13977887478496503,-0.07281827885254769,-0.038121643338306775,-0.004272468618534003,0.09348559485332035,0.09899105731276235,0.03675505203648542,-0.12672671689041864,-0.025346929607837226,-0.012461791076425865,-0.01457309097121115,0.19403542715914274,0.028180709261597034,-0.13988321205420737,-0.052764917822622506
INDP_CAT,-0.1108932168226508,0.14527173271954974,-0.17049897512294016,-0.13977887478496503,0.0,0.13029279234231567,-0.26811440378378865,0.003194913564129237,0.1531108500039319,-0.2390656612856739,-0.09670332033405493,-0.4345891704693981,-0.25519943469652545,0.009471756208880178,-0.06899415395750727,0.08946161155150131,0.07544660759156466,-0.5849259125742382,-0.06739642142181583
NOC,-0.00951944817188093,-0.21254592123981741,0.1269941281438568,-0.07281827885254769,0.13029279234231567,0.0,0.04963560894854073,0.000657842140633573,0.14215695057135722,0.20987603679887812,-0.13770533339721258,0.22894339888053428,0.06798949446391267,0.023115427237513062,-0.031142698697993132,-0.08280851329729114,0.010123691849920485,0.31983693863220947,-0.01682341316279134
DPHY,-0.03177519084308586,0.007656593659810987,-0.022313340000194026,-0.038121643338306775,-0.26811440378378865,0.04963560894854073,0.0,0.013294930701842934,-0.004179899255445714,-0.017799953737443558,0.030716349868412374,-0.4959537330896685,-0.16212945264248668,0.0022493106153089848,-0.03979935194115056,0.006841262499781351,-0.0025074940731598643,-0.48530528143835705,-0.031920029550820087
HISP,-0.047127404282667956,0.032111222001681435,0.035830727412463424,-0.004272468618534003,0.003194913564129237,0.000657842140633573,0.013294930701842934,0.0,-0.02143308083559646,-0.0492599031626145,0.01699029421938459,0.051098692232371276,0.01658156661290347,0.02085723102735556,-0.003572541012273781,-0.052044268309857054,0.017986515275806532,0.02222414263075841,-0.00957665882124121
HOUSING_TYPE,0.03492469120474067,0.0952980038375118,0.075238955364592,0.09348559485332035,0.1531108500039319,0.14215695057135722,-0.004179899255445714,-0.02143308083559646,0.0,-0.12736591766167615,0.19664306198356518,-0.04186690085309601,0.010217067617866865,0.027478340084675083,0.03433995620937626,0.028631120781482278,0.04301603384317639,0.07108575111138107,0.03194152916474944
MSP,0.009863608342977403,0.09840221377110159,-0.07000955952792046,0.09899105731276235,-0.2390656612856739,0.20987603679887812,-0.017799953737443558,-0.0492599031626145,-0.12736591766167615,0.0,0.046497166607236295,-0.28703050154509535,-0.020240657481354174,0.013783442293461108,0.012069889793545108,0.052474563037157584,0.0201537484304605,-0.5355181735768106,0.025721001224336716
OWN_RENT,-0.053007770910024135,-0.07651752760942573,0.002831102087577808,0.03675505203648542,-0.09670332033405493,-0.13770533339721258,0.030716349868412374,0.01699029421938459,0.19664306198356518,0.046497166607236295,0.0,0.052402903161939275,0.020570635127425033,-0.006481146071352106,-0.024053602967943212,0.0726807459994615,-0.042202380470346176,-0.04722933254043535,-0.00048147596391090236
EDU,-0.032387562390267896,0.17299647029687212,-0.35721441429089473,-0.12672671689041864,-0.4345891704693981,0.22894339888053428,-0.4959537330896685,0.051098692232371276,-0.04186690085309601,-0.28703050154509535,0.052402903161939275,0.0,-0.5046401894248183,-0.03393902657185147,0.003462701345196405,0.0477905046958699,0.026207527027499025,-0.4859417394862402,0.0009833018645367675
DREM,-0.006953160557454123,0.02854287676330841,-0.04014697036677256,-0.025346929607837226,-0.25519943469652545,0.06798949446391267,-0.16212945264248668,0.01658156661290347,0.010217067617866865,-0.020240657481354174,0.020570635127425033,-0.5046401894248183,0.0,-0.010813000959805419,-0.05082739914275088,-0.004850402054242309,0.002081132974465716,-0.5174195790721761,-0.052173542155106986
DVET,-0.008070522328566606,0.016953104320679813,-0.10194558930888419,-0.012461791076425865,0.009471756208880178,0.023115427237513062,0.0022493106153089848,0.02085723102735556,0.027478340084675083,0.013783442293461108,-0.006481146071352106,-0.03393902657185147,-0.010813000959805419,0.0,0.1173750634961604,0.03877782202129984,0.07989127091686696,-0.06878345261481694,0.050857703368757
DEAR,0.0036608817402722857,-0.0065395900791532235,0.05920875124958119,-0.01457309097121115,-0.06899415395750727,-0.031142698697993132,-0.03979935194115056,-0.003572541012273781,0.03433995620937626,0.012069889793545108,-0.024053602967943212,0.003462701345196405,-0.05082739914275088,0.1173750634961604,0.0,-0.038877732805659745,-0.01386934013534813,0.011677252560280287,-0.09729275108872609
RAC1P,0.13003118848820433,-0.11900845371248386,0.054882314883043015,0.19403542715914274,0.08946161155150131,-0.08280851329729114,0.006841262499781351,-0.052044268309857054,0.028631120781482278,0.052474563037157584,0.0726807459994615,0.0477905046958699,-0.004850402054242309,0.03877782202129984,-0.038877732805659745,0.0,0.021341613388461897,0.07715885806105412,-0.015412990626058389
SEX,0.05805244266004819,0.027813550535106726,-0.051569954646082126,0.028180709261597034,0.07544660759156466,0.010123691849920485,-0.0025074940731598643,0.017986515275806532,0.04301603384317639,0.0201537484304605,-0.042202380470346176,0.026207527027499025,0.002081132974465716,0.07989127091686696,-0.01386934013534813,0.021341613388461897,0.0,-0.028961265704687683,0.02204491469795502
PINCP_DECILE,-0.04398763617694838,0.3172961766008253,-0.5701594932476791,-0.13988321205420737,-0.5849259125742382,0.31983693863220947,-0.48530528143835705,0.02222414263075841,0.07108575111138107,-0.5355181735768106,-0.04722933254043535,-0.4859417394862402,-0.5174195790721761,-0.06878345261481694,0.011677252560280287,0.07715885806105412,-0.028961265704687683,0.0,-0.0018912436013410125
DEYE,-0.030572185549405422,-0.01726268815459296,0.02272861440989997,-0.052764917822622506,-0.06739642142181583,-0.01682341316279134,-0.031920029550820087,-0.00957665882124121,0.03194152916474944,0.025721001224336716,-0.00048147596391090236,0.0009833018645367675,-0.052173542155106986,0.050857703368757,-0.09729275108872609,-0.015412990626058389,0.02204491469795502,-0.0018912436013410125,0.0
