,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,N,1,1,1,2,6,1,1,N,1,6,100.0
1,N,10,1,1,2,1,3,1,N,1,1,100.0
2,N,7,1,1,1,4,5,1,N,1,4,100.0
3,N,8,1,1,2,9,9,1,N,1,9,100.0
4,N,4,1,2,2,7,5,1,N,1,7,100.0
5,N,7,1,2,2,4,7,1,N,1,4,100.0
6,N,1,1,4,2,2,1,1,N,1,2,100.0
7,N,7,3,4,0,4,2,1,N,3,4,100.0
8,N,6,1,4,2,3,3,1,N,1,3,100.0
9,N,9,1,4,2,3,3,1,N,1,3,100.0
10,N,7,1,5,1,3,3,1,N,1,3,100.0
11,N,5,1,5,2,0,8,1,N,1,0,100.0
12,N,1,1,6,2,9,7,1,N,1,9,100.0
13,N,12,1,6,2,7,8,1,N,1,7,100.0
14,N,10,1,6,1,7,9,1,N,1,7,100.0
15,N,4,1,N,2,N,8,1,N,1,N,100.0
16,N,12,1,2,2,3,3,2,N,1,3,100.0
17,N,5,1,2,2,4,3,2,N,1,4,100.0
18,N,4,1,3,2,1,9,2,N,1,1,100.0
19,N,4,1,4,2,5,5,2,N,1,5,100.0
20,N,3,1,4,1,4,7,2,N,1,4,100.0
21,N,9,2,5,0,5,1,2,N,2,5,100.0
22,N,4,1,5,2,0,3,2,N,1,0,100.0
23,N,1,1,5,2,5,6,2,N,1,5,100.0
24,N,7,3,6,0,1,8,2,N,3,1,100.0
25,N,12,1,2,2,9,5,1,N,1,9,100.0
26,N,1,1,2,2,1,6,1,N,1,1,100.0
27,N,1,1,2,1,6,8,1,N,1,6,100.0
28,5,6,2,3,0,2,1,1,5,2,2,100.0
29,N,9,1,3,1,4,3,1,N,1,4,100.0
30,N,7,2,4,0,3,5,1,N,2,3,100.0
31,N,4,1,4,1,7,9,1,N,1,7,100.0
32,1,7,1,5,2,0,6,1,1,1,0,100.0
33,N,10,1,5,2,7,9,1,N,1,7,100.0
34,N,5,3,6,0,0,3,1,N,3,0,100.0
35,N,10,3,6,0,8,6,1,N,3,8,100.0
36,N,6,1,6,2,1,8,1,N,1,1,100.0
37,N,2,1,1,1,0,1,2,N,1,0,100.0
38,N,2,1,1,2,3,1,2,N,1,3,100.0
39,N,6,1,2,2,4,6,2,N,1,4,100.0
40,N,4,1,2,2,2,8,2,N,1,2,100.0
41,N,10,1,2,2,9,9,2,N,1,9,100.0
42,N,7,1,3,1,4,5,2,N,1,4,100.0
43,N,8,2,4,0,2,3,2,N,2,2,100.0
44,N,8,1,5,2,4,8,2,N,1,4,100.0
45,N,3,1,6,1,0,9,2,N,1,0,100.0
46,N,N,1,N,1,N,7,2,N,1,N,100.0
47,N,5,1,1,2,7,7,1,N,1,7,100.0
48,N,8,1,1,1,7,9,1,N,1,7,100.0
49,N,9,2,2,0,4,2,1,N,2,4,100.0
50,N,11,1,3,1,6,6,1,N,1,6,100.0
51,N,12,1,3,1,9,6,1,N,1,9,100.0
52,N,1,1,4,2,3,8,1,N,1,3,100.0
53,N,6,2,4,0,1,9,1,N,2,1,100.0
54,N,6,2,5,0,0,1,1,N,2,0,100.0
55,N,1,1,6,1,0,6,1,N,1,0,100.0
56,N,11,1,6,2,6,9,1,N,1,6,100.0
57,N,1,2,N,0,N,1,1,N,2,N,100.0
58,N,11,1,1,2,8,8,2,N,1,8,100.0
59,N,3,3,2,0,0,2,2,N,3,0,100.0
60,N,12,1,2,2,0,6,2,N,1,0,100.0
61,N,5,1,2,2,4,7,2,N,1,4,100.0
62,N,7,3,2,0,1,9,2,N,3,1,100.0
63,N,11,1,3,1,9,6,2,N,1,9,100.0
64,N,3,2,3,0,2,6,2,N,2,2,100.0
65,N,6,3,5,0,0,9,2,N,3,0,100.0
66,N,4,1,6,2,3,5,2,N,1,3,100.0
67,N,3,3,6,0,0,6,2,N,3,0,100.0
68,N,2,1,N,2,N,5,2,N,1,N,100.0
69,N,4,1,N,2,N,9,2,N,1,N,100.0
70,N,2,1,1,1,2,1,1,N,1,2,100.0
71,N,8,1,1,1,1,5,1,N,1,1,100.0
72,N,4,1,2,2,4,6,1,N,1,4,100.0
73,N,5,2,2,0,0,8,1,N,2,0,100.0
74,N,9,1,2,1,9,9,1,N,1,9,100.0
75,N,8,1,4,1,6,6,1,N,1,6,100.0
76,N,12,1,4,2,8,6,1,N,1,8,100.0
77,N,7,3,4,0,2,6,1,N,3,2,100.0
78,N,5,1,4,2,0,7,1,N,1,0,100.0
79,N,8,1,4,1,3,9,1,N,1,3,100.0
80,N,3,1,5,2,0,2,1,N,1,0,100.0
81,N,12,1,6,2,8,2,1,N,1,8,100.0
82,N,5,1,6,1,0,7,1,N,1,0,100.0
83,N,4,1,N,1,N,1,1,N,1,N,100.0
84,N,3,2,N,0,N,9,1,N,2,N,100.0
85,N,10,1,1,2,1,3,2,N,1,1,100.0
86,N,9,1,1,2,8,3,2,N,1,8,100.0
87,N,6,1,1,1,4,9,2,N,1,4,100.0
88,N,11,1,2,2,0,2,2,N,1,0,100.0
89,N,9,1,2,2,7,9,2,N,1,7,100.0
90,N,1,1,3,2,2,1,2,N,1,2,100.0
91,N,5,1,3,1,2,8,2,N,1,2,100.0
92,N,11,1,4,2,7,2,2,N,1,7,100.0
93,N,10,1,5,2,2,8,2,N,1,2,100.0
94,N,10,1,6,1,4,3,2,N,1,4,100.0
95,N,7,1,1,1,6,7,1,N,1,6,100.0
96,N,11,1,2,1,8,6,1,N,1,8,100.0
97,N,7,1,2,1,4,6,1,N,1,4,100.0
98,N,3,1,2,2,1,6,1,N,1,1,100.0
99,N,7,2,2,0,0,6,1,N,2,0,100.0
100,N,4,1,3,2,3,6,1,N,1,3,100.0
101,N,5,2,4,0,0,9,1,N,2,0,100.0
102,N,11,1,5,2,2,2,1,N,1,2,100.0
103,N,4,1,5,1,3,3,1,N,1,3,100.0
104,N,5,1,5,2,2,9,1,N,1,2,100.0
105,2,7,3,6,0,5,8,1,2,3,5,100.0
106,N,8,1,6,2,2,9,1,N,1,2,100.0
107,N,4,1,N,2,N,9,1,N,1,N,100.0
108,N,7,1,2,1,0,6,2,N,1,0,100.0
109,N,8,1,2,2,7,9,2,N,1,7,100.0
110,N,3,2,3,0,0,2,2,N,2,0,100.0
111,N,8,2,4,0,0,1,2,N,2,0,100.0
112,N,1,1,5,2,2,2,2,N,1,2,100.0
113,N,4,2,5,0,0,2,2,N,2,0,100.0
114,N,5,1,5,2,6,9,2,N,1,6,100.0
115,N,11,3,6,0,1,6,2,N,3,1,100.0
116,N,5,3,6,0,1,9,2,N,3,1,100.0
117,N,3,1,3,2,3,1,1,N,1,3,100.0
118,N,7,1,3,2,3,6,1,N,1,3,100.0
119,N,4,1,4,1,9,8,1,N,1,9,100.0
120,N,11,1,5,2,9,6,1,N,1,9,100.0
121,N,8,3,5,0,0,8,1,N,3,0,100.0
122,N,1,1,6,1,5,5,1,N,1,5,100.0
123,N,6,1,6,1,7,7,1,N,1,7,100.0
124,N,6,1,6,2,2,9,1,N,1,2,100.0
125,N,3,1,N,1,N,4,1,N,1,N,100.0
126,N,2,1,1,1,5,2,2,N,1,5,100.0
127,N,6,1,1,2,4,3,2,N,1,4,100.0
128,N,10,1,1,2,0,8,2,N,1,0,100.0
129,N,8,1,1,2,0,9,2,N,1,0,100.0
130,N,7,3,2,0,1,2,2,N,3,1,100.0
131,N,10,1,2,2,2,3,2,N,1,2,100.0
132,N,7,2,2,0,5,8,2,N,2,5,100.0
133,N,9,1,4,2,6,3,2,N,1,6,100.0
134,N,3,2,4,0,0,8,2,N,2,0,100.0
135,N,3,1,6,2,0,6,2,N,1,0,100.0
136,N,6,1,6,1,4,7,2,N,1,4,100.0
137,N,11,1,6,1,8,9,2,N,1,8,100.0
138,N,4,1,N,1,N,8,2,N,1,N,100.0
139,N,3,2,2,0,0,2,1,N,2,0,100.0
140,N,10,2,2,0,7,6,1,N,2,7,100.0
141,N,6,1,2,2,2,8,1,N,1,2,100.0
142,N,11,1,3,2,3,1,1,N,1,3,100.0
143,N,6,1,3,1,1,3,1,N,1,1,100.0
144,N,3,1,3,1,6,6,1,N,1,6,100.0
145,N,1,1,3,1,0,8,1,N,1,0,100.0
146,N,6,1,4,2,5,6,1,N,1,5,100.0
147,N,6,1,4,1,2,9,1,N,1,2,100.0
148,N,5,1,5,2,2,3,1,N,1,2,100.0
149,N,3,1,6,1,0,5,1,N,1,0,100.0
150,N,6,1,6,1,0,6,1,N,1,0,100.0
151,N,6,2,6,0,2,6,1,N,2,2,100.0
152,N,9,3,6,0,1,9,1,N,3,1,100.0
153,N,6,1,1,1,0,5,2,N,1,0,100.0
154,N,6,1,1,1,9,8,2,N,1,9,100.0
155,N,6,1,1,2,0,9,2,N,1,0,100.0
156,N,8,1,3,2,7,3,2,N,1,7,100.0
157,N,1,1,3,1,0,8,2,N,1,0,100.0
158,N,1,2,3,0,3,8,2,N,2,3,100.0
159,N,10,1,3,2,4,9,2,N,1,4,100.0
160,N,8,1,3,2,8,9,2,N,1,8,100.0
161,N,6,2,4,0,2,1,2,N,2,2,100.0
162,N,4,1,4,1,4,5,2,N,1,4,100.0
163,N,11,1,4,1,6,8,2,N,1,6,100.0
164,N,8,1,4,1,7,8,2,N,1,7,100.0
165,N,5,3,5,0,3,1,2,N,3,3,100.0
166,N,4,1,5,1,0,2,2,N,1,0,100.0
167,N,10,1,6,2,0,7,2,N,1,0,100.0
168,N,8,1,6,1,3,8,2,N,1,3,100.0
169,N,3,2,N,0,N,1,2,N,2,N,100.0
170,N,N,3,N,0,N,2,2,N,3,N,100.0
171,N,5,1,1,2,5,5,1,N,1,5,100.0
172,N,1,1,1,2,2,8,1,N,1,2,100.0
173,N,12,3,2,0,8,1,1,N,3,8,100.0
174,N,6,1,3,2,2,3,1,N,1,2,100.0
175,N,10,1,3,1,2,5,1,N,1,2,100.0
176,N,10,1,4,1,9,9,1,N,1,9,100.0
177,N,11,1,5,1,5,2,1,N,1,5,100.0
178,N,1,3,N,0,N,9,1,N,3,N,100.0
179,N,7,1,3,2,3,9,2,N,1,3,100.0
180,N,9,2,4,0,2,5,2,N,2,2,100.0
181,N,3,3,5,0,1,1,2,N,3,1,100.0
182,N,7,1,5,1,4,6,2,N,1,4,100.0
183,N,10,1,5,2,4,6,2,N,1,4,100.0
184,N,9,1,6,2,6,3,2,N,1,6,100.0
185,N,6,3,6,0,0,8,2,N,3,0,100.0
186,N,3,2,N,0,N,2,2,N,2,N,100.0
187,N,N,1,N,1,N,5,2,N,1,N,100.0
188,N,12,1,1,2,0,9,1,N,1,0,100.0
189,N,3,1,2,1,3,2,1,N,1,3,100.0
190,N,10,3,2,0,9,2,1,N,3,9,100.0
191,N,11,1,3,1,1,2,1,N,1,1,100.0
192,N,5,1,3,1,7,8,1,N,1,7,100.0
193,N,12,1,3,1,2,9,1,N,1,2,100.0
194,N,8,1,5,1,9,1,1,N,1,9,100.0
195,N,5,3,5,0,1,2,1,N,3,1,100.0
196,N,4,1,5,2,4,8,1,N,1,4,100.0
197,N,9,1,5,2,9,9,1,N,1,9,100.0
198,N,3,2,6,0,0,3,1,N,2,0,100.0
199,N,5,1,6,2,3,5,1,N,1,3,100.0
200,N,4,1,6,1,0,7,1,N,1,0,100.0
201,N,6,1,1,1,4,4,2,N,1,4,100.0
202,N,10,1,2,1,9,3,2,N,1,9,100.0
203,N,5,1,2,1,5,8,2,N,1,5,100.0
204,N,7,2,3,0,6,5,2,N,2,6,100.0
205,N,2,1,4,1,6,6,2,N,1,6,100.0
206,N,4,1,5,1,0,8,2,N,1,0,100.0
207,N,3,3,6,0,0,2,2,N,3,0,100.0
208,N,7,1,6,1,3,7,2,N,1,3,100.0
209,N,3,1,N,1,N,7,2,N,1,N,100.0
210,N,11,1,1,1,9,3,1,N,1,9,100.0
211,N,5,1,2,1,2,8,1,N,1,2,100.0
212,N,7,1,2,1,4,9,1,N,1,4,100.0
213,N,10,1,3,1,8,3,1,N,1,8,100.0
214,N,9,1,3,2,4,6,1,N,1,4,100.0
215,N,10,1,4,2,7,9,1,N,1,7,100.0
216,N,7,1,5,2,3,8,1,N,1,3,100.0
217,N,8,1,5,2,3,9,1,N,1,3,100.0
218,4,7,2,5,0,4,9,1,4,2,4,100.0
219,N,3,1,6,2,0,5,1,N,1,0,100.0
220,N,7,1,6,2,5,5,1,N,1,5,100.0
221,N,9,1,6,2,6,7,1,N,1,6,100.0
222,N,9,1,1,1,0,7,2,N,1,0,100.0
223,N,12,1,1,1,9,9,2,N,1,9,100.0
224,N,11,1,2,1,7,6,2,N,1,7,100.0
225,N,3,1,2,1,8,8,2,N,1,8,100.0
226,N,5,1,2,1,5,9,2,N,1,5,100.0
227,N,5,1,3,2,3,5,2,N,1,3,100.0
228,N,10,1,4,2,7,3,2,N,1,7,100.0
229,N,9,1,4,1,0,8,2,N,1,0,100.0
230,N,10,1,5,1,1,6,2,N,1,1,100.0
231,N,9,1,5,2,3,8,2,N,1,3,100.0
232,N,10,1,6,2,2,3,2,N,1,2,100.0
233,N,7,3,6,0,1,3,2,N,3,1,100.0
234,N,5,3,6,0,1,7,2,N,3,1,100.0
235,N,6,2,2,0,7,2,1,N,2,7,100.0
236,N,3,1,3,2,4,3,1,N,1,4,100.0
237,N,4,1,3,2,3,9,1,N,1,3,100.0
238,N,7,1,4,2,7,7,1,N,1,7,100.0
239,N,5,1,4,1,7,9,1,N,1,7,100.0
240,N,3,1,5,1,4,1,1,N,1,4,100.0
241,N,12,1,5,2,9,1,1,N,1,9,100.0
242,N,11,1,6,2,3,5,1,N,1,3,100.0
243,N,8,1,6,1,4,6,1,N,1,4,100.0
244,N,8,1,6,2,5,7,1,N,1,5,100.0
245,N,10,3,2,0,3,1,2,N,3,3,100.0
246,N,10,3,2,0,9,3,2,N,3,9,100.0
247,N,1,1,2,1,0,6,2,N,1,0,100.0
248,N,8,1,2,1,2,6,2,N,1,2,100.0
249,N,9,1,2,1,4,8,2,N,1,4,100.0
250,N,3,1,3,2,0,5,2,N,1,0,100.0
251,N,3,1,3,1,1,9,2,N,1,1,100.0
252,N,8,1,4,1,8,6,2,N,1,8,100.0
253,N,12,1,4,2,6,6,2,N,1,6,100.0
254,N,8,1,4,2,7,6,2,N,1,7,100.0
255,N,1,1,4,1,5,8,2,N,1,5,100.0
256,N,3,1,5,2,2,2,2,N,1,2,100.0
257,N,3,1,5,1,0,6,2,N,1,0,100.0
258,N,11,1,5,2,6,6,2,N,1,6,100.0
259,N,9,1,5,1,7,8,2,N,1,7,100.0
260,N,1,3,N,0,N,2,2,N,3,N,100.0
261,N,11,1,1,1,9,8,1,N,1,9,100.0
262,N,5,3,2,0,5,9,1,N,3,5,100.0
263,N,3,2,3,0,3,1,1,N,2,3,100.0
264,N,12,1,3,1,9,2,1,N,1,9,100.0
265,N,7,1,3,2,9,8,1,N,1,9,100.0
266,N,11,1,4,2,3,2,1,N,1,3,100.0
267,N,3,1,4,2,5,9,1,N,1,5,100.0
268,N,9,1,5,2,7,8,1,N,1,7,100.0
269,N,8,1,1,1,6,5,2,N,1,6,100.0
270,N,8,1,2,1,7,5,2,N,1,7,100.0
271,N,4,1,4,1,3,3,2,N,1,3,100.0
272,N,5,1,4,2,0,5,2,N,1,0,100.0
273,N,7,1,4,1,6,8,2,N,1,6,100.0
274,N,8,1,5,2,2,1,2,N,1,2,100.0
275,N,6,1,5,1,3,2,2,N,1,3,100.0
276,N,7,1,5,2,2,3,2,N,1,2,100.0
277,N,6,3,5,0,1,5,2,N,3,1,100.0
278,N,8,1,5,2,1,9,2,N,1,1,100.0
279,N,9,1,5,2,5,9,2,N,1,5,100.0
280,N,11,3,6,0,0,2,2,N,3,0,100.0
281,N,3,1,6,1,0,8,2,N,1,0,100.0
282,N,3,1,2,2,6,1,1,N,1,6,100.0
283,N,9,1,2,1,7,8,1,N,1,7,100.0
284,N,1,1,2,2,4,8,1,N,1,4,100.0
285,N,6,1,3,2,3,1,1,N,1,3,100.0
286,N,9,1,3,2,4,2,1,N,1,4,100.0
287,N,5,1,3,2,1,3,1,N,1,1,100.0
288,N,7,1,3,1,2,8,1,N,1,2,100.0
289,N,4,1,3,2,3,8,1,N,1,3,100.0
290,N,7,1,4,2,7,6,1,N,1,7,100.0
291,N,8,1,5,2,3,6,1,N,1,3,100.0
292,N,2,1,6,1,0,1,1,N,1,0,100.0
293,N,10,1,6,1,1,3,1,N,1,1,100.0
294,N,8,1,6,2,3,3,1,N,1,3,100.0
295,N,11,1,6,1,7,9,1,N,1,7,100.0
296,N,1,1,N,1,N,5,1,N,1,N,100.0
297,N,N,1,N,1,N,5,1,N,1,N,100.0
298,N,7,1,1,1,6,5,2,N,1,6,100.0
299,N,12,1,1,2,0,9,2,N,1,0,100.0
300,N,9,1,2,1,7,3,2,N,1,7,100.0
301,N,9,2,2,0,0,6,2,N,2,0,100.0
302,N,7,1,3,2,3,8,2,N,1,3,100.0
303,N,5,1,4,2,1,3,2,N,1,1,100.0
304,N,6,1,4,2,4,3,2,N,1,4,100.0
305,N,3,2,4,0,3,5,2,N,2,3,100.0
306,N,4,1,4,1,7,8,2,N,1,7,100.0
307,N,10,1,4,2,9,8,2,N,1,9,100.0
308,N,9,2,4,0,0,8,2,N,2,0,100.0
309,N,6,3,6,0,3,3,2,N,3,3,100.0
310,N,8,1,6,1,6,6,2,N,1,6,100.0
311,N,12,1,2,1,3,1,1,N,1,3,100.0
312,N,5,3,2,0,3,3,1,N,3,3,100.0
313,N,8,1,2,2,3,6,1,N,1,3,100.0
314,N,4,1,2,1,3,8,1,N,1,3,100.0
315,N,10,1,2,2,6,8,1,N,1,6,100.0
316,N,5,2,3,0,5,2,1,N,2,5,100.0
317,N,9,2,3,0,8,2,1,N,2,8,100.0
318,N,10,2,4,0,2,1,1,N,2,2,100.0
319,N,1,1,4,1,2,3,1,N,1,2,100.0
320,N,6,1,4,1,9,6,1,N,1,9,100.0
321,N,5,1,4,2,3,6,1,N,1,3,100.0
322,N,8,1,4,2,2,9,1,N,1,2,100.0
323,N,4,3,5,0,1,1,1,N,3,1,100.0
324,N,7,1,5,1,3,6,1,N,1,3,100.0
325,N,1,1,5,1,7,8,1,N,1,7,100.0
326,N,3,1,5,2,7,8,1,N,1,7,100.0
327,N,5,2,5,0,5,8,1,N,2,5,100.0
328,N,4,1,6,2,1,5,1,N,1,1,100.0
329,N,8,3,6,0,1,6,1,N,3,1,100.0
330,N,8,1,2,2,9,1,2,N,1,9,100.0
331,N,4,3,2,0,3,8,2,N,3,3,100.0
332,N,10,1,3,2,8,6,2,N,1,8,100.0
333,N,3,3,5,0,4,2,2,N,3,4,100.0
334,N,11,1,5,1,8,6,2,N,1,8,100.0
335,N,5,1,6,1,0,5,2,N,1,0,100.0
336,N,4,1,6,1,0,7,2,N,1,0,100.0
337,N,1,1,6,2,2,9,2,N,1,2,100.0
338,N,3,1,N,2,N,5,2,N,1,N,100.0
339,N,1,1,1,1,7,3,1,N,1,7,100.0
340,N,12,1,1,2,3,8,1,N,1,3,100.0
341,N,6,1,2,2,2,1,1,N,1,2,100.0
342,N,5,1,2,1,0,3,1,N,1,0,100.0
343,N,5,2,2,0,0,6,1,N,2,0,100.0
344,N,7,1,2,1,3,8,1,N,1,3,100.0
345,N,3,1,3,2,2,8,1,N,1,2,100.0
346,N,8,1,4,1,6,8,1,N,1,6,100.0
347,N,7,1,4,2,3,9,1,N,1,3,100.0
348,N,3,2,N,0,N,6,1,N,2,N,100.0
349,N,1,1,2,2,0,1,2,N,1,0,100.0
350,N,11,1,2,1,6,2,2,N,1,6,100.0
351,N,10,1,2,2,8,2,2,N,1,8,100.0
352,N,1,1,2,1,7,5,2,N,1,7,100.0
353,N,10,1,2,2,3,8,2,N,1,3,100.0
354,N,3,1,2,2,2,8,2,N,1,2,100.0
355,N,8,1,2,1,0,9,2,N,1,0,100.0
356,N,5,2,3,0,1,2,2,N,2,1,100.0
357,N,8,1,3,1,4,3,2,N,1,4,100.0
358,N,8,1,3,1,3,8,2,N,1,3,100.0
359,N,6,1,3,2,5,8,2,N,1,5,100.0
360,N,7,1,3,1,6,9,2,N,1,6,100.0
361,N,1,1,4,1,2,6,2,N,1,2,100.0
362,N,1,1,4,2,2,6,2,N,1,2,100.0
363,N,6,1,5,1,6,3,2,N,1,6,100.0
364,N,12,1,5,1,9,6,2,N,1,9,100.0
365,N,1,1,6,1,7,8,2,N,1,7,100.0
366,N,10,1,2,1,8,3,1,N,1,8,100.0
367,N,12,1,2,1,9,6,1,N,1,9,100.0
368,N,3,1,2,1,2,6,1,N,1,2,100.0
369,N,8,1,3,1,5,3,1,N,1,5,100.0
370,N,11,1,4,2,3,9,1,N,1,3,100.0
371,N,3,1,5,2,6,1,1,N,1,6,100.0
372,N,12,1,5,2,3,2,1,N,1,3,100.0
373,N,9,1,6,1,7,3,1,N,1,7,100.0
374,N,5,1,3,1,7,7,2,N,1,7,100.0
375,N,5,1,4,1,7,7,2,N,1,7,100.0
376,N,1,1,4,2,6,8,2,N,1,6,100.0
377,N,5,2,4,0,3,8,2,N,2,3,100.0
378,N,8,1,6,1,7,5,2,N,1,7,100.0
379,N,9,1,6,1,8,5,2,N,1,8,100.0
380,N,8,1,6,2,0,5,2,N,1,0,100.0
381,N,6,1,6,2,5,6,2,N,1,5,100.0
382,N,4,1,1,1,6,5,1,N,1,6,100.0
383,N,5,1,3,1,9,6,1,N,1,9,100.0
384,N,3,2,4,0,1,2,1,N,2,1,100.0
385,N,5,1,4,1,5,8,1,N,1,5,100.0
386,N,12,1,4,2,3,8,1,N,1,3,100.0
387,N,3,1,5,2,4,5,1,N,1,4,100.0
388,N,12,3,6,0,5,1,1,N,3,5,100.0
389,N,4,2,6,0,1,5,1,N,2,1,100.0
390,N,4,1,N,2,N,3,1,N,1,N,100.0
391,N,11,1,1,2,4,3,2,N,1,4,100.0
392,N,10,1,1,1,0,5,2,N,1,0,100.0
393,N,9,2,2,0,2,2,2,N,2,2,100.0
394,N,10,1,2,1,0,9,2,N,1,0,100.0
395,N,5,1,3,1,9,5,2,N,1,9,100.0
396,N,3,1,5,2,1,6,2,N,1,1,100.0
